time,consumption_mwh,temp_c,wind_ms,solar_wm2,price_eur_mwh
2022-01-01 00:00:00+00:00,26858.4,0.11,7.0,0.0,81.83
2022-01-01 01:00:00+00:00,26177.8,-0.18,6.61,0.0,88.21
2022-01-01 02:00:00+00:00,26229.4,-1.11,7.14,0.0,84.71
2022-01-01 03:00:00+00:00,25381.3,-0.75,7.05,0.0,70.92
2022-01-01 04:00:00+00:00,25223.0,-0.09,7.36,0.0,60.78
2022-01-01 05:00:00+00:00,26453.7,-0.97,7.74,0.0,65.57
2022-01-01 06:00:00+00:00,29454.4,-1.26,7.98,0.0,83.11
2022-01-01 07:00:00+00:00,32254.8,-0.52,8.36,16.2,126.15
2022-01-01 08:00:00+00:00,33942.8,0.05,7.63,39.5,111.72
2022-01-01 09:00:00+00:00,34402.2,0.86,6.88,46.9,125.32
2022-01-01 10:00:00+00:00,33524.8,1.16,6.86,45.6,116.66
2022-01-01 11:00:00+00:00,33151.7,2.47,6.85,54.8,99.75
2022-01-01 12:00:00+00:00,32122.3,3.6,6.45,44.5,111.15
2022-01-01 13:00:00+00:00,31117.2,4.14,6.66,82.2,89.84
2022-01-01 14:00:00+00:00,30104.5,5.13,7.39,59.7,78.61
2022-01-01 15:00:00+00:00,30404.1,5.51,8.3,39.4,92.38
2022-01-01 16:00:00+00:00,32492.0,4.89,9.34,26.8,81.61
2022-01-01 17:00:00+00:00,34363.1,4.82,8.19,21.3,120.84
2022-01-01 18:00:00+00:00,35038.8,3.77,7.22,0.0,128.59
2022-01-01 19:00:00+00:00,33782.8,3.69,6.99,0.0,129.28
2022-01-01 20:00:00+00:00,32597.9,2.94,7.05,0.0,113.99
2022-01-01 21:00:00+00:00,31294.3,2.05,6.86,0.0,92.83
2022-01-01 22:00:00+00:00,29837.9,0.87,6.44,0.0,107.09
2022-01-01 23:00:00+00:00,27884.6,0.9,6.23,0.0,97.02
2022-01-02 00:00:00+00:00,26785.3,0.15,6.64,0.0,85.45
2022-01-02 01:00:00+00:00,25826.5,-0.59,5.62,0.0,83.61
2022-01-02 02:00:00+00:00,25799.8,-1.09,7.52,0.0,51.08
2022-01-02 03:00:00+00:00,26081.4,-0.86,7.51,0.0,76.16
2022-01-02 04:00:00+00:00,25860.6,-0.54,8.31,0.0,49.49
2022-01-02 05:00:00+00:00,26623.6,0.0,7.79,0.0,63.14
2022-01-02 06:00:00+00:00,28697.7,0.73,8.2,0.0,71.28
2022-01-02 07:00:00+00:00,30806.5,2.61,8.22,10.4,75.72
2022-01-02 08:00:00+00:00,32164.7,3.03,8.83,40.2,95.89
2022-01-02 09:00:00+00:00,32584.5,3.46,8.58,38.2,97.81
2022-01-02 10:00:00+00:00,32173.9,3.71,9.71,45.6,186.16
2022-01-02 11:00:00+00:00,31896.7,4.78,8.41,39.6,106.85
2022-01-02 12:00:00+00:00,31796.2,6.04,9.08,84.2,89.12
2022-01-02 13:00:00+00:00,30814.2,6.4,9.07,66.6,90.67
2022-01-02 14:00:00+00:00,31289.1,6.15,8.17,62.5,89.76
2022-01-02 15:00:00+00:00,31496.4,5.72,9.64,58.7,83.29
2022-01-02 16:00:00+00:00,32724.6,6.0,10.95,40.1,87.27
2022-01-02 17:00:00+00:00,35327.3,6.12,9.13,15.4,111.73
2022-01-02 18:00:00+00:00,35773.4,5.93,9.17,0.0,118.97
2022-01-02 19:00:00+00:00,34955.1,4.86,9.61,0.0,116.18
2022-01-02 20:00:00+00:00,33144.3,4.24,9.82,0.0,85.32
2022-01-02 21:00:00+00:00,31074.4,3.49,10.87,0.0,75.38
2022-01-02 22:00:00+00:00,28684.5,2.81,11.7,0.0,68.41
2022-01-02 23:00:00+00:00,26613.3,2.57,11.67,0.0,42.83
2022-01-03 00:00:00+00:00,28397.1,1.99,13.22,0.0,45.39
2022-01-03 01:00:00+00:00,27134.3,1.87,13.64,0.0,51.02
2022-01-03 02:00:00+00:00,26810.0,1.54,13.03,0.0,34.8
2022-01-03 03:00:00+00:00,26484.7,1.54,12.3,0.0,48.55
2022-01-03 04:00:00+00:00,26519.2,1.95,13.01,0.0,42.1
2022-01-03 05:00:00+00:00,28122.6,1.3,12.09,0.0,64.07
2022-01-03 06:00:00+00:00,30641.1,1.53,11.51,0.0,72.75
2022-01-03 07:00:00+00:00,33526.7,1.82,11.1,15.4,83.94
2022-01-03 08:00:00+00:00,35061.4,2.13,11.17,28.7,93.18
2022-01-03 09:00:00+00:00,34914.1,2.72,10.81,61.1,114.99
2022-01-03 10:00:00+00:00,34083.1,4.38,9.59,62.0,94.64
2022-01-03 11:00:00+00:00,33694.7,4.54,10.37,43.2,88.8
2022-01-03 12:00:00+00:00,33070.9,5.71,9.89,45.4,88.89
2022-01-03 13:00:00+00:00,31998.4,5.14,11.32,68.3,74.97
2022-01-03 14:00:00+00:00,32173.4,5.23,11.34,52.9,75.63
2022-01-03 15:00:00+00:00,32671.6,5.42,12.12,25.8,86.13
2022-01-03 16:00:00+00:00,34191.2,5.66,12.35,30.1,89.03
2022-01-03 17:00:00+00:00,36248.5,5.77,13.11,22.4,90.9
2022-01-03 18:00:00+00:00,37022.6,5.74,13.25,0.0,109.53
2022-01-03 19:00:00+00:00,35458.0,4.87,13.13,0.0,96.43
2022-01-03 20:00:00+00:00,33877.5,3.83,13.67,0.0,94.44
2022-01-03 21:00:00+00:00,32059.4,3.54,15.28,0.0,64.73
2022-01-03 22:00:00+00:00,30645.6,2.61,14.66,0.0,55.18
2022-01-03 23:00:00+00:00,29731.0,1.08,14.9,0.0,47.65
2022-01-04 00:00:00+00:00,29632.8,-0.26,14.5,0.0,52.7
2022-01-04 01:00:00+00:00,28783.6,-1.28,14.52,0.0,49.72
2022-01-04 02:00:00+00:00,27684.7,-1.25,14.18,0.0,41.29
2022-01-04 03:00:00+00:00,28186.7,-1.26,12.13,0.0,50.96
2022-01-04 04:00:00+00:00,28000.3,-0.73,11.72,0.0,62.75
2022-01-04 05:00:00+00:00,28403.5,-0.68,12.26,0.0,60.29
2022-01-04 06:00:00+00:00,30753.7,-0.11,11.4,0.0,74.9
2022-01-04 07:00:00+00:00,32695.0,0.89,11.9,16.5,89.16
2022-01-04 08:00:00+00:00,34428.0,1.43,11.8,29.4,91.73
2022-01-04 09:00:00+00:00,34561.4,2.47,11.41,59.1,93.38
2022-01-04 10:00:00+00:00,34816.0,2.84,11.9,40.9,99.78
2022-01-04 11:00:00+00:00,34832.4,3.35,12.19,39.2,100.14
2022-01-04 12:00:00+00:00,34212.4,3.75,12.26,83.2,91.41
2022-01-04 13:00:00+00:00,33531.7,3.53,12.79,80.6,70.46
2022-01-04 14:00:00+00:00,33379.4,4.16,12.66,43.2,84.35
2022-01-04 15:00:00+00:00,33360.4,4.0,11.09,33.4,90.09
2022-01-04 16:00:00+00:00,35255.8,3.94,10.59,38.0,107.32
2022-01-04 17:00:00+00:00,37920.1,3.96,9.0,11.5,148.12
2022-01-04 18:00:00+00:00,38509.2,3.78,9.41,0.0,129.91
2022-01-04 19:00:00+00:00,37003.4,3.57,9.99,0.0,120.07
2022-01-04 20:00:00+00:00,35313.0,2.79,10.58,0.0,100.91
2022-01-04 21:00:00+00:00,34246.8,1.76,10.78,0.0,97.12
2022-01-04 22:00:00+00:00,31527.7,0.95,11.35,0.0,72.89
2022-01-04 23:00:00+00:00,30357.3,-0.77,9.9,0.0,69.74
2022-01-05 00:00:00+00:00,30372.7,-2.24,9.67,0.0,62.25
2022-01-05 01:00:00+00:00,29982.6,-3.45,8.43,0.0,79.21
2022-01-05 02:00:00+00:00,29411.1,-4.26,8.08,0.0,78.37
2022-01-05 03:00:00+00:00,28888.0,-4.01,9.29,0.0,74.38
2022-01-05 04:00:00+00:00,29453.7,-4.36,10.03,0.0,68.97
2022-01-05 05:00:00+00:00,30701.6,-4.18,10.4,0.0,90.2
2022-01-05 06:00:00+00:00,33079.3,-2.81,10.08,0.0,98.09
2022-01-05 07:00:00+00:00,36179.1,-2.32,9.15,12.1,126.0
2022-01-05 08:00:00+00:00,36600.7,-1.07,9.19,40.3,128.7
2022-01-05 09:00:00+00:00,36273.9,-0.78,9.95,26.8,127.65
2022-01-05 10:00:00+00:00,35812.0,-0.04,10.12,51.8,118.01
2022-01-05 11:00:00+00:00,34686.7,0.2,8.73,83.2,97.97
