meter_id,date,kwh
M100000,2023-01-01,96.882
M100000,2023-01-02,111.294
M100000,2023-01-03,64.984
M100000,2023-01-04,178.334
M100000,2023-01-05,107.423
M100000,2023-01-06,95.052
M100000,2023-01-07,86.008
M100000,2023-01-08,45.819
M100000,2023-01-09,66.566
M100000,2023-01-10,44.784
M100000,2023-01-11,116.603
M100000,2023-01-12,68.4
M100000,2023-01-13,94.14
M100000,2023-01-14,104.876
M100000,2023-01-15,59.998
M100000,2023-01-16,97.595
M100000,2023-01-18,82.777
M100000,2023-01-19,137.359
M100000,2023-01-20,104.924
M100000,2023-01-21,120.752
M100000,2023-01-22,49.23
M100000,2023-01-23,74.966
M100000,2023-01-24,67.367
M100000,2023-01-25,89.893
M100000,2023-01-26,52.016
M100000,2023-01-27,90.158
M100000,2023-01-28,76.594
M100000,2023-01-29,64.513
M100000,2023-01-30,85.64
M100000,2023-01-31,42.693
M100000,2023-02-01,94.745
M100000,2023-02-02,80.573
M100000,2023-02-03,116.611
M100000,2023-02-04,104.926
M100000,2023-02-05,61.688
M100000,2023-02-06,72.179
M100000,2023-02-07,62.086
M100000,2023-02-08,77.629
M100000,2023-02-09,88.766
M100000,2023-02-10,85.849
M100000,2023-02-11,85.402
M100000,2023-02-12,78.604
M100000,2023-02-13,74.105
M100000,2023-02-14,94.246
M100000,2023-02-15,46.63
M100000,2023-02-16,113.407
M100000,2023-02-17,45.608
M100000,2023-02-18,53.957
M100000,2023-02-19,123.92
M100000,2023-02-20,98.683
M100000,2023-02-21,56.776
M100000,2023-02-22,50.234
M100000,2023-02-23,66.327
M100000,2023-02-24,56.407
M100000,2023-02-25,99.014
M100000,2023-02-26,71.915
M100000,2023-02-27,45.889
M100000,2023-02-28,93.834
M100000,2023-03-01,57.356
M100000,2023-03-02,68.308
M100000,2023-03-03,67.506
M100000,2023-03-04,121.555
M100000,2023-03-05,57.239
M100000,2023-03-06,67.446
M100000,2023-03-07,62.116
M100000,2023-03-08,80.866
M100000,2023-03-09,86.388
M100000,2023-03-10,72.166
M100000,2023-03-11,70.725
M100000,2023-03-12,87.908
M100000,2023-03-13,102.36
M100000,2023-03-14,81.214
M100000,2023-03-15,83.267
M100000,2023-03-17,70.83
M100000,2023-03-18,57.701
M100000,2023-03-19,59.834
M100000,2023-03-21,52.823
M100000,2023-03-22,131.108
M100000,2023-03-23,62.965
M100000,2023-03-24,69.057
M100000,2023-03-25,69.502
M100000,2023-03-26,60.193
M100000,2023-03-27,86.379
M100000,2023-03-28,83.035
M100000,2023-03-29,61.947
M100000,2023-03-30,75.239
M100000,2023-03-31,89.608
M100000,2023-04-01,72.318
M100000,2023-04-02,68.268
M100000,2023-04-03,104.949
M100000,2023-04-04,41.724
M100000,2023-04-05,101.974
M100000,2023-04-06,60.804
M100000,2023-04-07,52.407
M100000,2023-04-08,72.057
M100000,2023-04-09,92.622
M100000,2023-04-10,51.011
M100000,2023-04-11,60.874
M100000,2023-04-13,65.309
M100000,2023-04-14,38.661
M100000,2023-04-15,86.615
M100000,2023-04-16,35.336
M100000,2023-04-17,48.417
