meter_id,region,tariff,customer_type,annual_kwh_estimate,signup_date,has_solar
M100000,London,Fixed,sme,21622.0,2021-07-07,False
M100001,London,Fixed,residential,2286.0,2022-11-17,False
M100002,London,Fixed,residential,3665.0,2021-06-04,False
M100003,Scotland,Fixed,residential,2575.0,2021-10-26,False
M100004,Midlands,Fixed,residential,2191.0,2022-10-31,False
M100005,North,Variable,residential,3026.0,2022-09-30,False
M100006,London,Variable,residential,4089.0,2021-06-26,False
M100007,London,Fixed,residential,3982.0,2021-12-05,False
M100008,Scotland,Fixed,residential,3833.0,2022-04-07,False
M100009,London,TOU,residential,3541.0,2021-12-06,False
M100010,Midlands,Fixed,sme,21844.0,2021-09-14,False
M100011,North,Variable,residential,4511.0,2022-07-06,False
M100012,London,Fixed,residential,3753.0,2022-06-24,False
M100013,North,Fixed,residential,2948.0,2021-12-11,True
M100014,Scotland,Fixed,residential,3576.0,2021-10-20,False
M100015,London,TOU,sme,36741.0,2022-04-11,False
M100016,London,Variable,residential,5283.0,2021-01-02,False
M100017,London,,residential,3449.0,2022-08-31,False
M100018,North,Variable,residential,2710.0,2022-10-03,False
M100019,Midlands,Fixed,residential,3520.0,2021-03-15,False
M100020,Wales,Fixed,residential,2798.0,2022-05-12,False
M100021,London,,residential,3869.0,2022-02-17,False
M100022,Wales,Variable,residential,2646.0,2021-10-20,False
M100023,London,Fixed,residential,3639.0,2022-11-10,False
M100024,London,Variable,residential,4741.0,2022-09-12,False
M100025,Scotland,TOU,residential,3700.0,2022-11-30,False
M100026,Wales,Fixed,residential,4375.0,2021-02-28,True
M100027,Scotland,Variable,residential,1550.0,2022-11-04,False
M100028,London,Fixed,residential,3443.0,2021-11-01,False
M100029,London,Fixed,sme,12822.0,2021-12-30,False
M100030,North,Fixed,residential,1905.0,2021-12-29,False
M100031,london,,residential,4273.0,2021-07-08,False
M100032,London,Variable,residential,3483.0,2021-04-25,False
M100033,Scotland,Fixed,residential,3600.0,2021-03-23,False
M100034,London,Variable,residential,2510.0,2022-06-14,False
M100035,North,Variable,residential,2386.0,2022-10-29,False
