origin_datetime,forecast_datetime,horizon_h,temp_forecast_c
2022-01-01 00:00:00+00:00,2022-01-01 01:00:00+00:00,1,0.51
2022-01-01 00:00:00+00:00,2022-01-01 02:00:00+00:00,2,-1.43
2022-01-01 00:00:00+00:00,2022-01-01 03:00:00+00:00,3,0.4
2022-01-01 00:00:00+00:00,2022-01-01 04:00:00+00:00,4,0.29
2022-01-01 00:00:00+00:00,2022-01-01 05:00:00+00:00,5,-1.05
2022-01-01 00:00:00+00:00,2022-01-01 06:00:00+00:00,6,-0.43
2022-01-01 00:00:00+00:00,2022-01-01 07:00:00+00:00,7,-0.56
2022-01-01 00:00:00+00:00,2022-01-01 08:00:00+00:00,8,0.68
2022-01-01 00:00:00+00:00,2022-01-01 09:00:00+00:00,9,1.16
2022-01-01 00:00:00+00:00,2022-01-01 10:00:00+00:00,10,1.15
2022-01-01 00:00:00+00:00,2022-01-01 11:00:00+00:00,11,3.86
2022-01-01 00:00:00+00:00,2022-01-01 12:00:00+00:00,12,3.36
2022-01-01 00:00:00+00:00,2022-01-01 13:00:00+00:00,13,4.79
2022-01-01 00:00:00+00:00,2022-01-01 14:00:00+00:00,14,6.8
2022-01-01 00:00:00+00:00,2022-01-01 15:00:00+00:00,15,4.46
2022-01-01 00:00:00+00:00,2022-01-01 16:00:00+00:00,16,6.02
2022-01-01 00:00:00+00:00,2022-01-01 17:00:00+00:00,17,3.57
2022-01-01 00:00:00+00:00,2022-01-01 18:00:00+00:00,18,4.44
2022-01-01 00:00:00+00:00,2022-01-01 19:00:00+00:00,19,4.02
2022-01-01 00:00:00+00:00,2022-01-01 20:00:00+00:00,20,2.52
2022-01-01 00:00:00+00:00,2022-01-01 21:00:00+00:00,21,5.8
2022-01-01 00:00:00+00:00,2022-01-01 22:00:00+00:00,22,2.61
2022-01-01 00:00:00+00:00,2022-01-01 23:00:00+00:00,23,1.67
2022-01-01 00:00:00+00:00,2022-01-02 00:00:00+00:00,24,3.44
2022-01-01 00:00:00+00:00,2022-01-02 01:00:00+00:00,25,0.31
2022-01-01 00:00:00+00:00,2022-01-02 02:00:00+00:00,26,-3.72
2022-01-01 00:00:00+00:00,2022-01-02 03:00:00+00:00,27,0.24
2022-01-01 00:00:00+00:00,2022-01-02 04:00:00+00:00,28,-2.85
2022-01-01 00:00:00+00:00,2022-01-02 05:00:00+00:00,29,0.01
2022-01-01 00:00:00+00:00,2022-01-02 06:00:00+00:00,30,-1.95
2022-01-01 00:00:00+00:00,2022-01-02 07:00:00+00:00,31,1.11
2022-01-01 00:00:00+00:00,2022-01-02 08:00:00+00:00,32,4.76
2022-01-01 00:00:00+00:00,2022-01-02 09:00:00+00:00,33,4.85
2022-01-01 00:00:00+00:00,2022-01-02 10:00:00+00:00,34,3.65
2022-01-01 00:00:00+00:00,2022-01-02 11:00:00+00:00,35,1.67
2022-01-01 00:00:00+00:00,2022-01-02 12:00:00+00:00,36,6.15
2022-01-01 00:00:00+00:00,2022-01-02 13:00:00+00:00,37,7.35
2022-01-01 00:00:00+00:00,2022-01-02 14:00:00+00:00,38,8.18
2022-01-01 00:00:00+00:00,2022-01-02 15:00:00+00:00,39,8.32
2022-01-01 00:00:00+00:00,2022-01-02 16:00:00+00:00,40,8.72
2022-01-01 00:00:00+00:00,2022-01-02 17:00:00+00:00,41,10.16
2022-01-01 00:00:00+00:00,2022-01-02 18:00:00+00:00,42,3.75
2022-01-01 00:00:00+00:00,2022-01-02 19:00:00+00:00,43,2.23
2022-01-01 00:00:00+00:00,2022-01-02 20:00:00+00:00,44,6.58
2022-01-01 00:00:00+00:00,2022-01-02 21:00:00+00:00,45,6.27
2022-01-01 00:00:00+00:00,2022-01-02 22:00:00+00:00,46,1.2
2022-01-01 00:00:00+00:00,2022-01-02 23:00:00+00:00,47,2.38
2022-01-01 00:00:00+00:00,2022-01-03 00:00:00+00:00,48,1.99
2022-01-01 12:00:00+00:00,2022-01-01 13:00:00+00:00,1,4.98
2022-01-01 12:00:00+00:00,2022-01-01 14:00:00+00:00,2,6.02
2022-01-01 12:00:00+00:00,2022-01-01 15:00:00+00:00,3,5.19
2022-01-01 12:00:00+00:00,2022-01-01 16:00:00+00:00,4,4.92
2022-01-01 12:00:00+00:00,2022-01-01 17:00:00+00:00,5,4.73
2022-01-01 12:00:00+00:00,2022-01-01 18:00:00+00:00,6,4.32
2022-01-01 12:00:00+00:00,2022-01-01 19:00:00+00:00,7,5.06
2022-01-01 12:00:00+00:00,2022-01-01 20:00:00+00:00,8,5.03
2022-01-01 12:00:00+00:00,2022-01-01 21:00:00+00:00,9,2.51
2022-01-01 12:00:00+00:00,2022-01-01 22:00:00+00:00,10,1.03
2022-01-01 12:00:00+00:00,2022-01-01 23:00:00+00:00,11,0.02
2022-01-01 12:00:00+00:00,2022-01-02 00:00:00+00:00,12,0.31
2022-01-01 12:00:00+00:00,2022-01-02 01:00:00+00:00,13,-1.74
